id,comment_text,argument_text,label
102arg4,"Let me put it in perspective for all the Pro commenters. In the Bible, God uses the word to know in place of sex (eg And Adam knew his wife). God ALSO uses the word to know in His description of the relationship He wants with us. So, if we put two and two together, we will see that this perversion is an abomination! Clearly!",It is discriminatory to refuse gay couples the right to marry,3
102arg5,"Let me put it in perspective for all the Pro commenters. In the Bible, God uses the word to know in place of sex (eg And Adam knew his wife). God ALSO uses the word to know in His description of the relationship He wants with us. So, if we put two and two together, we will see that this perversion is an abomination! Clearly!",Major world religions are against gay marriages,4
102arg6,"Let me put it in perspective for all the Pro commenters. In the Bible, God uses the word to know in place of sex (eg And Adam knew his wife). God ALSO uses the word to know in His description of the relationship He wants with us. So, if we put two and two together, we will see that this perversion is an abomination! Clearly!","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",3
102arg7,"Let me put it in perspective for all the Pro commenters. In the Bible, God uses the word to know in place of sex (eg And Adam knew his wife). God ALSO uses the word to know in His description of the relationship He wants with us. So, if we put two and two together, we will see that this perversion is an abomination! Clearly!",Marriage should be between a man and a woman,4
103arg1,"Let my ask you this: Who defines marriage? Why should it be illegal to marry someone you love? Did you, who are straight choose to be straight? Being gay is a genetic predisposition and should be considered perfectly natural in society. Instead people get so obsessed with not wanting change and the thought of someone being different from them comes as a threat. Lets make this world a better place, legalize gay marriage. There is nothing it will hurt.",Gay couples can declare their union without resort to marriage,3
103arg2,"Let my ask you this: Who defines marriage? Why should it be illegal to marry someone you love? Did you, who are straight choose to be straight? Being gay is a genetic predisposition and should be considered perfectly natural in society. Instead people get so obsessed with not wanting change and the thought of someone being different from them comes as a threat. Lets make this world a better place, legalize gay marriage. There is nothing it will hurt.",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,3
103arg3,"Let my ask you this: Who defines marriage? Why should it be illegal to marry someone you love? Did you, who are straight choose to be straight? Being gay is a genetic predisposition and should be considered perfectly natural in society. Instead people get so obsessed with not wanting change and the thought of someone being different from them comes as a threat. Lets make this world a better place, legalize gay marriage. There is nothing it will hurt.","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",3
103arg4,"Let my ask you this: Who defines marriage? Why should it be illegal to marry someone you love? Did you, who are straight choose to be straight? Being gay is a genetic predisposition and should be considered perfectly natural in society. Instead people get so obsessed with not wanting change and the thought of someone being different from them comes as a threat. Lets make this world a better place, legalize gay marriage. There is nothing it will hurt.",It is discriminatory to refuse gay couples the right to marry,4
103arg5,"Let my ask you this: Who defines marriage? Why should it be illegal to marry someone you love? Did you, who are straight choose to be straight? Being gay is a genetic predisposition and should be considered perfectly natural in society. Instead people get so obsessed with not wanting change and the thought of someone being different from them comes as a threat. Lets make this world a better place, legalize gay marriage. There is nothing it will hurt.",Major world religions are against gay marriages,3
103arg6,"Let my ask you this: Who defines marriage? Why should it be illegal to marry someone you love? Did you, who are straight choose to be straight? Being gay is a genetic predisposition and should be considered perfectly natural in society. Instead people get so obsessed with not wanting change and the thought of someone being different from them comes as a threat. Lets make this world a better place, legalize gay marriage. There is nothing it will hurt.","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",3
103arg7,"Let my ask you this: Who defines marriage? Why should it be illegal to marry someone you love? Did you, who are straight choose to be straight? Being gay is a genetic predisposition and should be considered perfectly natural in society. Instead people get so obsessed with not wanting change and the thought of someone being different from them comes as a threat. Lets make this world a better place, legalize gay marriage. There is nothing it will hurt.",Marriage should be between a man and a woman,2
104arg1,"Love is Love. It's as simple as that. I'm a christian and I believe that Jesus taught us to love others and not judge them. Same-sex marriages should be allowed because marriage is a right that should be granted to all. For those saying they want to strengthen marriage, then why don't we get rid of no-fault divorces? Or if the purpose of marriage is for reproduction, then should we not allow infertile couples or the aging to marry?? (Levy, Robert) Research has already shown that   Massachusetts, which became the first state to legalize gay marriage in 2004, had the lowest divorce rate in the country in 2008. (Procon.org) Honestly, all should be allowed to get married. Rather it be a civil marriage (because civil unions just don't cut it- separate but equal is not legal) or a traditional marriage. Though I do believe that churches should not be forced to marry couples, but all human beings should be allowed to get married.",Gay couples can declare their union without resort to marriage,3
104arg2,"Love is Love. It's as simple as that. I'm a christian and I believe that Jesus taught us to love others and not judge them. Same-sex marriages should be allowed because marriage is a right that should be granted to all. For those saying they want to strengthen marriage, then why don't we get rid of no-fault divorces? Or if the purpose of marriage is for reproduction, then should we not allow infertile couples or the aging to marry?? (Levy, Robert) Research has already shown that   Massachusetts, which became the first state to legalize gay marriage in 2004, had the lowest divorce rate in the country in 2008. (Procon.org) Honestly, all should be allowed to get married. Rather it be a civil marriage (because civil unions just don't cut it- separate but equal is not legal) or a traditional marriage. Though I do believe that churches should not be forced to marry couples, but all human beings should be allowed to get married.",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,3
104arg3,"Love is Love. It's as simple as that. I'm a christian and I believe that Jesus taught us to love others and not judge them. Same-sex marriages should be allowed because marriage is a right that should be granted to all. For those saying they want to strengthen marriage, then why don't we get rid of no-fault divorces? Or if the purpose of marriage is for reproduction, then should we not allow infertile couples or the aging to marry?? (Levy, Robert) Research has already shown that   Massachusetts, which became the first state to legalize gay marriage in 2004, had the lowest divorce rate in the country in 2008. (Procon.org) Honestly, all should be allowed to get married. Rather it be a civil marriage (because civil unions just don't cut it- separate but equal is not legal) or a traditional marriage. Though I do believe that churches should not be forced to marry couples, but all human beings should be allowed to get married.","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",1
104arg4,"Love is Love. It's as simple as that. I'm a christian and I believe that Jesus taught us to love others and not judge them. Same-sex marriages should be allowed because marriage is a right that should be granted to all. For those saying they want to strengthen marriage, then why don't we get rid of no-fault divorces? Or if the purpose of marriage is for reproduction, then should we not allow infertile couples or the aging to marry?? (Levy, Robert) Research has already shown that   Massachusetts, which became the first state to legalize gay marriage in 2004, had the lowest divorce rate in the country in 2008. (Procon.org) Honestly, all should be allowed to get married. Rather it be a civil marriage (because civil unions just don't cut it- separate but equal is not legal) or a traditional marriage. Though I do believe that churches should not be forced to marry couples, but all human beings should be allowed to get married.",It is discriminatory to refuse gay couples the right to marry,5
104arg5,"Love is Love. It's as simple as that. I'm a christian and I believe that Jesus taught us to love others and not judge them. Same-sex marriages should be allowed because marriage is a right that should be granted to all. For those saying they want to strengthen marriage, then why don't we get rid of no-fault divorces? Or if the purpose of marriage is for reproduction, then should we not allow infertile couples or the aging to marry?? (Levy, Robert) Research has already shown that   Massachusetts, which became the first state to legalize gay marriage in 2004, had the lowest divorce rate in the country in 2008. (Procon.org) Honestly, all should be allowed to get married. Rather it be a civil marriage (because civil unions just don't cut it- separate but equal is not legal) or a traditional marriage. Though I do believe that churches should not be forced to marry couples, but all human beings should be allowed to get married.",Major world religions are against gay marriages,3
104arg6,"Love is Love. It's as simple as that. I'm a christian and I believe that Jesus taught us to love others and not judge them. Same-sex marriages should be allowed because marriage is a right that should be granted to all. For those saying they want to strengthen marriage, then why don't we get rid of no-fault divorces? Or if the purpose of marriage is for reproduction, then should we not allow infertile couples or the aging to marry?? (Levy, Robert) Research has already shown that   Massachusetts, which became the first state to legalize gay marriage in 2004, had the lowest divorce rate in the country in 2008. (Procon.org) Honestly, all should be allowed to get married. Rather it be a civil marriage (because civil unions just don't cut it- separate but equal is not legal) or a traditional marriage. Though I do believe that churches should not be forced to marry couples, but all human beings should be allowed to get married.","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",5
104arg7,"Love is Love. It's as simple as that. I'm a christian and I believe that Jesus taught us to love others and not judge them. Same-sex marriages should be allowed because marriage is a right that should be granted to all. For those saying they want to strengthen marriage, then why don't we get rid of no-fault divorces? Or if the purpose of marriage is for reproduction, then should we not allow infertile couples or the aging to marry?? (Levy, Robert) Research has already shown that   Massachusetts, which became the first state to legalize gay marriage in 2004, had the lowest divorce rate in the country in 2008. (Procon.org) Honestly, all should be allowed to get married. Rather it be a civil marriage (because civil unions just don't cut it- separate but equal is not legal) or a traditional marriage. Though I do believe that churches should not be forced to marry couples, but all human beings should be allowed to get married.",Marriage should be between a man and a woman,1
105arg1,"Love thy neighbor is the phrase I base this issue on. Why do individuals have a problem with two people to be in love, even if they are homosexual? I believe in life, liberty, and the pursuit of happiness, if being happy means with being with someone I love, regardless of gender, so be it.",Gay couples can declare their union without resort to marriage,3
105arg2,"Love thy neighbor is the phrase I base this issue on. Why do individuals have a problem with two people to be in love, even if they are homosexual? I believe in life, liberty, and the pursuit of happiness, if being happy means with being with someone I love, regardless of gender, so be it.",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,3
105arg3,"Love thy neighbor is the phrase I base this issue on. Why do individuals have a problem with two people to be in love, even if they are homosexual? I believe in life, liberty, and the pursuit of happiness, if being happy means with being with someone I love, regardless of gender, so be it.","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",3
105arg4,"Love thy neighbor is the phrase I base this issue on. Why do individuals have a problem with two people to be in love, even if they are homosexual? I believe in life, liberty, and the pursuit of happiness, if being happy means with being with someone I love, regardless of gender, so be it.",It is discriminatory to refuse gay couples the right to marry,4
105arg5,"Love thy neighbor is the phrase I base this issue on. Why do individuals have a problem with two people to be in love, even if they are homosexual? I believe in life, liberty, and the pursuit of happiness, if being happy means with being with someone I love, regardless of gender, so be it.",Major world religions are against gay marriages,3
105arg6,"Love thy neighbor is the phrase I base this issue on. Why do individuals have a problem with two people to be in love, even if they are homosexual? I believe in life, liberty, and the pursuit of happiness, if being happy means with being with someone I love, regardless of gender, so be it.","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",3
105arg7,"Love thy neighbor is the phrase I base this issue on. Why do individuals have a problem with two people to be in love, even if they are homosexual? I believe in life, liberty, and the pursuit of happiness, if being happy means with being with someone I love, regardless of gender, so be it.",Marriage should be between a man and a woman,2
106arg1,"Marriage is a privilege granted by the government with many stipulations. Love has never been a factor. Marriage is divided among gender lines, not love lines, because only men and women can reproduce. In a time when many countries are facing below-replacement birth rates, we should be encouraging marriage, not dividing and weakening it.  Gay marriage advocates use emotional rhetoric to bypass the fact that children raised by gays are more likely to be gay themselves. Common sense demands it, and studies prove it. Sexuality is in large part a learned trait, and can be influenced over time just like someone's weight. Furthermore, the (primarily atheist) forces behind gay marriage seek to end marriage completely, since they see it as a religious ideology. This is shown by the low proportion of gay marriages performed and children raised in countries where gay marriage has been legal for some time.   It is not an accident that marriage has been between men and women for all of human history. Gay marriage advocates are not original in their beliefs. Other societies have tried to change marriage to suit their beliefs, and they have either stagnated or failed. More research and less rhetoric is needed in order to make a smart decision.",Gay couples can declare their union without resort to marriage,3
106arg2,"Marriage is a privilege granted by the government with many stipulations. Love has never been a factor. Marriage is divided among gender lines, not love lines, because only men and women can reproduce. In a time when many countries are facing below-replacement birth rates, we should be encouraging marriage, not dividing and weakening it.  Gay marriage advocates use emotional rhetoric to bypass the fact that children raised by gays are more likely to be gay themselves. Common sense demands it, and studies prove it. Sexuality is in large part a learned trait, and can be influenced over time just like someone's weight. Furthermore, the (primarily atheist) forces behind gay marriage seek to end marriage completely, since they see it as a religious ideology. This is shown by the low proportion of gay marriages performed and children raised in countries where gay marriage has been legal for some time.   It is not an accident that marriage has been between men and women for all of human history. Gay marriage advocates are not original in their beliefs. Other societies have tried to change marriage to suit their beliefs, and they have either stagnated or failed. More research and less rhetoric is needed in order to make a smart decision.",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,3
106arg3,"Marriage is a privilege granted by the government with many stipulations. Love has never been a factor. Marriage is divided among gender lines, not love lines, because only men and women can reproduce. In a time when many countries are facing below-replacement birth rates, we should be encouraging marriage, not dividing and weakening it.  Gay marriage advocates use emotional rhetoric to bypass the fact that children raised by gays are more likely to be gay themselves. Common sense demands it, and studies prove it. Sexuality is in large part a learned trait, and can be influenced over time just like someone's weight. Furthermore, the (primarily atheist) forces behind gay marriage seek to end marriage completely, since they see it as a religious ideology. This is shown by the low proportion of gay marriages performed and children raised in countries where gay marriage has been legal for some time.   It is not an accident that marriage has been between men and women for all of human history. Gay marriage advocates are not original in their beliefs. Other societies have tried to change marriage to suit their beliefs, and they have either stagnated or failed. More research and less rhetoric is needed in order to make a smart decision.","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",4
106arg4,"Marriage is a privilege granted by the government with many stipulations. Love has never been a factor. Marriage is divided among gender lines, not love lines, because only men and women can reproduce. In a time when many countries are facing below-replacement birth rates, we should be encouraging marriage, not dividing and weakening it.  Gay marriage advocates use emotional rhetoric to bypass the fact that children raised by gays are more likely to be gay themselves. Common sense demands it, and studies prove it. Sexuality is in large part a learned trait, and can be influenced over time just like someone's weight. Furthermore, the (primarily atheist) forces behind gay marriage seek to end marriage completely, since they see it as a religious ideology. This is shown by the low proportion of gay marriages performed and children raised in countries where gay marriage has been legal for some time.   It is not an accident that marriage has been between men and women for all of human history. Gay marriage advocates are not original in their beliefs. Other societies have tried to change marriage to suit their beliefs, and they have either stagnated or failed. More research and less rhetoric is needed in order to make a smart decision.",It is discriminatory to refuse gay couples the right to marry,1
106arg5,"Marriage is a privilege granted by the government with many stipulations. Love has never been a factor. Marriage is divided among gender lines, not love lines, because only men and women can reproduce. In a time when many countries are facing below-replacement birth rates, we should be encouraging marriage, not dividing and weakening it.  Gay marriage advocates use emotional rhetoric to bypass the fact that children raised by gays are more likely to be gay themselves. Common sense demands it, and studies prove it. Sexuality is in large part a learned trait, and can be influenced over time just like someone's weight. Furthermore, the (primarily atheist) forces behind gay marriage seek to end marriage completely, since they see it as a religious ideology. This is shown by the low proportion of gay marriages performed and children raised in countries where gay marriage has been legal for some time.   It is not an accident that marriage has been between men and women for all of human history. Gay marriage advocates are not original in their beliefs. Other societies have tried to change marriage to suit their beliefs, and they have either stagnated or failed. More research and less rhetoric is needed in order to make a smart decision.",Major world religions are against gay marriages,3
106arg6,"Marriage is a privilege granted by the government with many stipulations. Love has never been a factor. Marriage is divided among gender lines, not love lines, because only men and women can reproduce. In a time when many countries are facing below-replacement birth rates, we should be encouraging marriage, not dividing and weakening it.  Gay marriage advocates use emotional rhetoric to bypass the fact that children raised by gays are more likely to be gay themselves. Common sense demands it, and studies prove it. Sexuality is in large part a learned trait, and can be influenced over time just like someone's weight. Furthermore, the (primarily atheist) forces behind gay marriage seek to end marriage completely, since they see it as a religious ideology. This is shown by the low proportion of gay marriages performed and children raised in countries where gay marriage has been legal for some time.   It is not an accident that marriage has been between men and women for all of human history. Gay marriage advocates are not original in their beliefs. Other societies have tried to change marriage to suit their beliefs, and they have either stagnated or failed. More research and less rhetoric is needed in order to make a smart decision.","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",1
106arg7,"Marriage is a privilege granted by the government with many stipulations. Love has never been a factor. Marriage is divided among gender lines, not love lines, because only men and women can reproduce. In a time when many countries are facing below-replacement birth rates, we should be encouraging marriage, not dividing and weakening it.  Gay marriage advocates use emotional rhetoric to bypass the fact that children raised by gays are more likely to be gay themselves. Common sense demands it, and studies prove it. Sexuality is in large part a learned trait, and can be influenced over time just like someone's weight. Furthermore, the (primarily atheist) forces behind gay marriage seek to end marriage completely, since they see it as a religious ideology. This is shown by the low proportion of gay marriages performed and children raised in countries where gay marriage has been legal for some time.   It is not an accident that marriage has been between men and women for all of human history. Gay marriage advocates are not original in their beliefs. Other societies have tried to change marriage to suit their beliefs, and they have either stagnated or failed. More research and less rhetoric is needed in order to make a smart decision.",Marriage should be between a man and a woman,5
107arg1,"Marriage is a union between MAN and WIFE in the eyes of the LORD. Homosexuality is an abomination in our religion, and pushing for same sex marriage is discriminatory against the Christian faith. If this passed, doesn't this undermine the church and the whole concept of marriage in the first place? People seem to forget, marriage is 100% faith related, you wouldn't ask the muslims or hindu's to marry in their holy places, so why should the church be any different? Also, why would homosexuals want to be involved in a religious principle that directly opposes them instinctively, never-mind their right to marry. Homosexuals already have a legal right, why should they ask for more?",Gay couples can declare their union without resort to marriage,5
107arg2,"Marriage is a union between MAN and WIFE in the eyes of the LORD. Homosexuality is an abomination in our religion, and pushing for same sex marriage is discriminatory against the Christian faith. If this passed, doesn't this undermine the church and the whole concept of marriage in the first place? People seem to forget, marriage is 100% faith related, you wouldn't ask the muslims or hindu's to marry in their holy places, so why should the church be any different? Also, why would homosexuals want to be involved in a religious principle that directly opposes them instinctively, never-mind their right to marry. Homosexuals already have a legal right, why should they ask for more?",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,3
107arg3,"Marriage is a union between MAN and WIFE in the eyes of the LORD. Homosexuality is an abomination in our religion, and pushing for same sex marriage is discriminatory against the Christian faith. If this passed, doesn't this undermine the church and the whole concept of marriage in the first place? People seem to forget, marriage is 100% faith related, you wouldn't ask the muslims or hindu's to marry in their holy places, so why should the church be any different? Also, why would homosexuals want to be involved in a religious principle that directly opposes them instinctively, never-mind their right to marry. Homosexuals already have a legal right, why should they ask for more?","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",3
107arg4,"Marriage is a union between MAN and WIFE in the eyes of the LORD. Homosexuality is an abomination in our religion, and pushing for same sex marriage is discriminatory against the Christian faith. If this passed, doesn't this undermine the church and the whole concept of marriage in the first place? People seem to forget, marriage is 100% faith related, you wouldn't ask the muslims or hindu's to marry in their holy places, so why should the church be any different? Also, why would homosexuals want to be involved in a religious principle that directly opposes them instinctively, never-mind their right to marry. Homosexuals already have a legal right, why should they ask for more?",It is discriminatory to refuse gay couples the right to marry,3
107arg5,"Marriage is a union between MAN and WIFE in the eyes of the LORD. Homosexuality is an abomination in our religion, and pushing for same sex marriage is discriminatory against the Christian faith. If this passed, doesn't this undermine the church and the whole concept of marriage in the first place? People seem to forget, marriage is 100% faith related, you wouldn't ask the muslims or hindu's to marry in their holy places, so why should the church be any different? Also, why would homosexuals want to be involved in a religious principle that directly opposes them instinctively, never-mind their right to marry. Homosexuals already have a legal right, why should they ask for more?",Major world religions are against gay marriages,5
107arg6,"Marriage is a union between MAN and WIFE in the eyes of the LORD. Homosexuality is an abomination in our religion, and pushing for same sex marriage is discriminatory against the Christian faith. If this passed, doesn't this undermine the church and the whole concept of marriage in the first place? People seem to forget, marriage is 100% faith related, you wouldn't ask the muslims or hindu's to marry in their holy places, so why should the church be any different? Also, why would homosexuals want to be involved in a religious principle that directly opposes them instinctively, never-mind their right to marry. Homosexuals already have a legal right, why should they ask for more?","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",3
107arg7,"Marriage is a union between MAN and WIFE in the eyes of the LORD. Homosexuality is an abomination in our religion, and pushing for same sex marriage is discriminatory against the Christian faith. If this passed, doesn't this undermine the church and the whole concept of marriage in the first place? People seem to forget, marriage is 100% faith related, you wouldn't ask the muslims or hindu's to marry in their holy places, so why should the church be any different? Also, why would homosexuals want to be involved in a religious principle that directly opposes them instinctively, never-mind their right to marry. Homosexuals already have a legal right, why should they ask for more?",Marriage should be between a man and a woman,5
108arg1,"Marriage is for heterosexuals.  Other contractual instruments are available or could be legislated to give obligations and rights to partners.  Why infringe on marriage as a tradition?  If so, why not permit polygomy?  How far do you go?",Gay couples can declare their union without resort to marriage,5
108arg2,"Marriage is for heterosexuals.  Other contractual instruments are available or could be legislated to give obligations and rights to partners.  Why infringe on marriage as a tradition?  If so, why not permit polygomy?  How far do you go?",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,4
108arg3,"Marriage is for heterosexuals.  Other contractual instruments are available or could be legislated to give obligations and rights to partners.  Why infringe on marriage as a tradition?  If so, why not permit polygomy?  How far do you go?","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",3
